CountryCode,Country,Year,Variant,Value
"903","Africa","2020","Medium","71.074"
"903","Africa","2015","Medium","84.407"
"903","Africa","2010","Medium","104.749"
"903","Africa","2005","Medium","129.729"
"903","Africa","2000","Medium","151.25"
"903","Africa","1995","Medium","165.936"
"903","Africa","1990","Medium","169.669"
"903","Africa","1985","Medium","182.029"
"903","Africa","1980","Medium","199.587"
"935","Asia","2020","Medium","30.736"
"935","Asia","2015","Medium","36.718"
"935","Asia","2010","Medium","47.268"
"935","Asia","2005","Medium","59.966"
"935","Asia","2000","Medium","73.067"
"935","Asia","1995","Medium","84.28"
"935","Asia","1990","Medium","92.823"
"935","Asia","1985","Medium","108.902"
"935","Asia","1980","Medium","127.364"
"908","Europe","2020","Medium","5.016"
"908","Europe","2015","Medium","6.323"
"908","Europe","2010","Medium","7.775"
"908","Europe","2005","Medium","10.011"
"908","Europe","2000","Medium","12.416"
"908","Europe","1995","Medium","15.171"
"908","Europe","1990","Medium","18.708"
"908","Europe","1985","Medium","21.79"
"908","Europe","1980","Medium","25.653"
"918","Northern America","2020","Medium","6.687"
"918","Northern America","2015","Medium","6.827"
"918","Northern America","2010","Medium","7.762"
"918","Northern America","2005","Medium","8.094"
"918","Northern America","2000","Medium","8.676"
"918","Northern America","1995","Medium","10.189"
"918","Northern America","1990","Medium","12.021"
"918","Northern America","1985","Medium","13.432"
"918","Northern America","1980","Medium","16.539"
"909","Oceania","2020","Medium","22.509"
"909","Oceania","2015","Medium","25.834"
"909","Oceania","2010","Medium","29.482"
"909","Oceania","2005","Medium","33.082"
"909","Oceania","2000","Medium","34.124"
"909","Oceania","1995","Medium","34.546"
"909","Oceania","1990","Medium","38.176"
"909","Oceania","1985","Medium","42.792"
"909","Oceania","1980","Medium","48.759"
"931","South America","2020","Medium","17.333"
"931","South America","2015","Medium","18.753"
"931","South America","2010","Medium","23.499"
"931","South America","2005","Medium","30.764"
"931","South America","2000","Medium","38.05"
"931","South America","1995","Medium","47.438"
"931","South America","1990","Medium","60.864"
"931","South America","1985","Medium","77.362"
"931","South America","1980","Medium","93.736"
"900","World","2020","Medium","39.859"
"900","World","2015","Medium","46.392"
"900","World","2010","Medium","56.97"
"900","World","2005","Medium","70.003"
"900","World","2000","Medium","81.898"
"900","World","1995","Medium","90.766"
"900","World","1990","Medium","96.146"
"900","World","1985","Medium","108.896"
"900","World","1980","Medium","124.005"

"931","Americas","2020","Medium","12.01"
"931","Americas","2015","Medium","12.79"
"931","Americas","2010","Medium","15.63"
"931","Americas","2005","Medium","19.429"
"931","Americas","2000","Medium","23.363"
"931","Americas","1995","Medium","28.81"
"931","Americas","1990","Medium","36.55"
"931","Americas","1985","Medium","45.397"
"931","Americas","1980","Medium","55.137"

