ISO_code,Location,1950_1955,1955_1960,1960_1965,1965_1970,1970_1975,1975_1980,1980_1985,1985_1990,1990_1995,1995_2000,2000_2005,2005_2010,2010_2015,2015_2020,region,continent,latitude,longitude
108,Burundi,280,266,251,237,231,219,197,171,182,173,143,112,78,63,Sub-Saharan Africa,Africa,-3.356208708,29.89200134
174,Comoros,288,269,249,230,208,187,158,133,114,103,101,91,78,70,Sub-Saharan Africa,Africa,-11.42407818,42.8293551
262,Djibouti,260,242,222,202,171,157,140,129,120,112,106,97,84,51,Sub-Saharan Africa,Africa,11.74658946,42.58022315
232,Eritrea,333,305,270,250,224,202,184,168,144,107,81,68,57,44,Sub-Saharan Africa,Africa,15.37695899,38.82792338
231,Ethiopia,333,305,270,250,237,230,237,212,190,156,123,91,68,55,Sub-Saharan Africa,Africa,8.633664665,39.61587345
404,Kenya,248,226,196,172,148,128,110,106,108,106,94,73,56,47,Sub-Saharan Africa,Africa,0.529620946,37.85784174
450,Madagascar,294,271,249,229,210,193,172,170,152,117,87,67,54,43,Sub-Saharan Africa,Africa,-19.37969027,46.70406219
454,Malawi,348,337,324,313,290,270,251,235,205,168,137,103,74,55,Sub-Saharan Africa,Africa,-13.21991287,34.31171876
480,Mauritius,168,113,86,81,84,47,31,27,21,22,16,15,14,13,Sub-Saharan Africa,Africa,-20.27530781,57.56676664
175,Mayotte,223,153,113,82,60,44,32,23,17,12,9,7,5,5,Sub-Saharan Africa,Africa,-12.81970382,45.13516865
508,Mozambique,319,293,273,273,270,263,259,247,229,193,151,117,90,73,Sub-Saharan Africa,Africa,-17.2617763,35.55202528
638,Réunion,222,153,112,82,60,44,32,23,17,12,9,7,5,3,Sub-Saharan Africa,Africa,-21.12280909,55.55123933
646,Rwanda,271,256,242,231,228,216,180,192,466,201,146,88,53,38,Sub-Saharan Africa,Africa,-1.991722808,29.92068123
690,Seychelles,114,106,97,82,61,40,25,18,15,14,14,14,14,14,Sub-Saharan Africa,Africa,-4.651257344,55.46250801
706,Somalia,334,312,291,271,253,235,219,210,222,176,161,147,131,115,Sub-Saharan Africa,Africa,6.070298569,45.86808802
728,South Sudan,406,373,348,323,304,284,276,253,219,189,165,126,100,99,Sub-Saharan Africa,Africa,7.295889595,30.30870192
800,Uganda,271,245,220,195,186,185,184,184,171,153,123,104,82,63,Sub-Saharan Africa,Africa,1.280667326,32.38662225
834,United Republic of Tanzania,264,247,236,221,204,186,179,171,164,146,105,80,66,57,Sub-Saharan Africa,Africa,-6.273241244,34.79620168
894,Zambia,238,216,197,187,168,155,161,178,185,176,138,96,73,61,Sub-Saharan Africa,Africa,-13.45369192,27.80039565
716,Zimbabwe,181,161,139,119,111,109,93,77,87,102,100,96,71,51,Sub-Saharan Africa,Africa,-19.00126774,29.86951021
24,Angola,324,312,297,278,259,242,231,224,223,218,192,148,106,81,Sub-Saharan Africa,Africa,-12.3755731,17.59867248
120,Cameroon,285,266,245,225,201,178,161,153,158,165,140,121,104,88,Sub-Saharan Africa,Africa,5.68036831,12.74068837
140,Central African Republic,340,317,295,269,233,200,180,177,176,178,172,161,142,122,Sub-Saharan Africa,Africa,6.570747926,20.48450088
148,Chad,312,297,284,269,246,231,218,205,198,189,178,162,137,123,Sub-Saharan Africa,Africa,15.35740495,18.66399556
178,Congo,240,207,177,154,134,117,101,90,96,113,107,75,58,48,Sub-Saharan Africa,Africa,-0.83949506,15.22629207
180,Democratic Republic of the Congo,281,266,255,242,226,218,204,194,182,188,163,134,115,100,Sub-Saharan Africa,Africa,-2.876807692,23.65623593
226,Equatorial Guinea,328,312,296,281,265,251,218,203,184,162,143,126,109,94,Sub-Saharan Africa,Africa,1.412936146,10.61572825
266,Gabon,301,281,266,227,189,155,123,97,91,88,86,71,58,48,Sub-Saharan Africa,Africa,-0.595400581,11.79997877
678,Sao Tome and Principe,210,187,162,142,120,101,95,105,108,96,73,53,40,32,Sub-Saharan Africa,Africa,0.227069777,6.614376446
72,Botswana,217,184,156,132,108,83,62,51,59,80,82,61,45,38,Sub-Saharan Africa,Africa,-22.17991766,23.81673035
748,Eswatini,260,240,221,201,171,136,101,75,76,110,131,111,71,54,Sub-Saharan Africa,Africa,-26.56643647,31.50113832
426,Lesotho,219,197,188,184,167,139,110,93,91,107,122,116,96,87,Sub-Saharan Africa,Africa,-29.58448841,28.24105147
516,Namibia,257,222,187,157,134,113,101,79,70,73,75,60,51,45,Sub-Saharan Africa,Africa,-22.13362728,17.21558466
710,South Africa,228,199,180,162,135,105,81,64,57,66,77,67,43,35,Sub-Saharan Africa,Africa,-28.99235649,25.09025016
204,Benin,347,322,296,275,255,229,208,190,169,152,135,118,106,96,Sub-Saharan Africa,Africa,9.642665015,2.342864021
854,Burkina Faso,376,351,327,301,283,258,229,212,204,190,173,135,100,84,Sub-Saharan Africa,Africa,12.27790144,-1.738649343
132,Cabo Verde,197,190,184,157,134,95,82,70,59,46,30,28,25,20,Sub-Saharan Africa,Africa,17.52133998,-24.58506404
384,Côte d'Ivoire,394,351,299,254,215,184,164,155,152,152,136,119,100,87,Sub-Saharan Africa,Africa,7.630087005,-5.552402136
270,Gambia,383,366,351,306,267,232,200,175,153,128,106,88,75,68,Sub-Saharan Africa,Africa,13.44470328,-15.44718402
288,Ghana,249,226,205,189,177,163,151,133,114,104,94,82,66,52,Sub-Saharan Africa,Africa,7.956118608,-1.209564758
324,Guinea,346,335,327,322,311,289,265,241,216,187,161,124,102,81,Sub-Saharan Africa,Africa,10.43642262,-10.95068301
624,Guinea-Bissau,312,301,290,274,260,244,228,217,204,183,161,129,101,82,Sub-Saharan Africa,Africa,12.05479161,-14.94108332
430,Liberia,332,324,315,291,266,246,231,246,258,213,153,107,86,74,Sub-Saharan Africa,Africa,6.445498409,-9.307443775
466,Mali,427,414,408,390,356,326,294,268,246,232,196,153,125,105,Sub-Saharan Africa,Africa,17.34640627,-3.525051581
478,Mauritania,293,264,233,202,189,174,151,125,115,114,113,105,93,79,Sub-Saharan Africa,Africa,20.25780429,-10.33010275
562,Niger,325,326,323,324,325,323,314,319,293,242,194,144,110,85,Sub-Saharan Africa,Africa,17.42463558,9.397470038
566,Nigeria,335,313,288,269,249,228,212,212,213,200,172,142,121,102,Sub-Saharan Africa,Africa,9.590667555,8.10605344
686,Senegal,320,302,293,299,276,226,186,150,138,140,114,77,55,45,Sub-Saharan Africa,Africa,14.35710542,-14.4780169
694,Sierra Leone,431,402,379,349,318,295,276,265,259,247,217,180,137,110,Sub-Saharan Africa,Africa,8.571898577,-11.77850059
768,Togo,321,288,259,233,208,186,167,153,142,132,124,98,84,75,Sub-Saharan Africa,Africa,8.541637601,0.97409513
12,Algeria,278,255,231,209,188,157,103,71,54,47,41,34,29,25,Northern Africa,Africa,28.16474462,2.63351219
818,Egypt,387,315,278,251,238,189,149,102,80,49,38,30,24,20,Northern Africa,Africa,26.55281781,29.78562814
434,Libya,346,316,228,164,119,86,63,50,39,31,26,21,16,13,Northern Africa,Africa,27.04420762,18.02212777
504,Morocco,252,233,211,190,171,150,118,89,68,55,45,33,29,23,Northern Africa,Africa,31.8836769,-6.317283613
